             version              nb_cpu                   N                   h                 N_t                 h_t        erreur_infty               temps
          4.00000000         -1.00000000         10.00000000          0.10000000      20000.00000000          0.00005000         -1.00000000          0.03293900
          4.00000000         -1.00000000         10.00000000          0.10000000      49999.00000000          0.00002000         -1.00000000          0.07410700
          4.00000000         -1.00000000         10.00000000          0.10000000      99999.00000000          0.00001000         -1.00000000          0.14313000
          4.00000000         -1.00000000         20.00000000          0.05000000      10000.00000000          0.00010000         -1.00000000          0.06974900
          4.00000000         -1.00000000         20.00000000          0.05000000      20000.00000000          0.00005000         -1.00000000          0.14388800
          4.00000000         -1.00000000         20.00000000          0.05000000      49999.00000000          0.00002000         -1.00000000          0.35415200
          4.00000000         -1.00000000         20.00000000          0.05000000      99999.00000000          0.00001000         -1.00000000          0.72308700
          4.00000000         -1.00000000         50.00000000          0.02000000      10000.00000000          0.00010000         -1.00000000          0.52868600
          4.00000000         -1.00000000         50.00000000          0.02000000      20000.00000000          0.00005000         -1.00000000          1.03889700
          4.00000000         -1.00000000         50.00000000          0.02000000      49999.00000000          0.00002000         -1.00000000          2.59037200
          4.00000000         -1.00000000         50.00000000          0.02000000      99999.00000000          0.00001000         -1.00000000          5.23955300
          4.00000000         -1.00000000        100.00000000          0.01000000      10000.00000000          0.00010000         -1.00000000          3.46262400
          4.00000000         -1.00000000        100.00000000          0.01000000      20000.00000000          0.00005000         -1.00000000          6.93868500
          4.00000000         -1.00000000        100.00000000          0.01000000      49999.00000000          0.00002000         -1.00000000         18.41155600
          4.00000000         -1.00000000        100.00000000          0.01000000      99999.00000000          0.00001000         -1.00000000         35.43115200
