             version              nb_cpu                   N        nb_iteration        erreur_infty               temps
            1.000000           -1.000000            5.000000          102.000000            0.031916            0.000002
            2.000000            1.000000            5.000000          102.000000            0.031916            0.000020
            2.000000            2.000000            5.000000          102.000000            0.031916            0.001258
            2.000000            4.000000            5.000000          102.000000            0.031916            0.002043
            2.000000            6.000000            5.000000          102.000000            0.031916            0.002587
            2.000000            8.000000            5.000000          102.000000            0.031916            0.003695
            3.000000            1.000000            5.000000          102.000000            0.031916            0.000949
            3.000000            2.000000            5.000000          102.000000            0.031916            0.002267
            3.000000            4.000000            5.000000          102.000000            0.031916            0.001253
            3.000000            6.000000            5.000000          102.000000            0.031916            0.002019
            3.000000            8.000000            5.000000          198.000000            0.031916            0.105442
            4.000000           -1.000000            5.000000           -1.000000            0.031916            0.000000
            1.000000           -1.000000           10.000000          400.000000            0.008265            0.000020
            2.000000            1.000000           10.000000          400.000000            0.008265            0.000132
            2.000000            2.000000           10.000000          400.000000            0.008265            0.004844
            2.000000            4.000000           10.000000          400.000000            0.008265            0.006018
            2.000000            6.000000           10.000000          400.000000            0.008265            0.008736
            2.000000            8.000000           10.000000          400.000000            0.008265            0.010749
            3.000000            1.000000           10.000000          400.000000            0.008265            0.000059
            3.000000            2.000000           10.000000          400.000000            0.008265            0.001539
            3.000000            4.000000           10.000000          400.000000            0.008265            0.001451
            3.000000            6.000000           10.000000          400.000000            0.008265            0.003019
            3.000000            8.000000           10.000000          400.000000            0.008265            0.007891
            4.000000           -1.000000           10.000000           -1.000000            0.008265            0.000002
            1.000000           -1.000000           50.000000         8506.000000            0.000329            0.001789
            2.000000            1.000000           50.000000         8506.000000            0.000329            0.004133
            2.000000            2.000000           50.000000         8506.000000            0.000329            0.054820
            2.000000            4.000000           50.000000         8506.000000            0.000329            0.079706
            2.000000            6.000000           50.000000         8506.000000            0.000329            0.118273
            2.000000            8.000000           50.000000         8506.000000            0.000329            0.135152
            3.000000            1.000000           50.000000         8506.000000            0.000329            0.000997
            3.000000            2.000000           50.000000         8506.000000            0.000329            0.013871
            3.000000            4.000000           50.000000         8506.000000            0.000329            0.018462
            3.000000            6.000000           50.000000         8506.000000            0.000329            0.035291
            3.000000            8.000000           50.000000         8506.000000            0.000329            0.051256
            4.000000           -1.000000           50.000000           -1.000000            0.000329            0.000003
            1.000000           -1.000000          100.000000        31227.000000            0.000082            0.014503
            2.000000            1.000000          100.000000        31227.000000            0.000082            0.016703
            2.000000            2.000000          100.000000        31227.000000            0.000082            0.148571
            2.000000            4.000000          100.000000        31227.000000            0.000082            0.252719
            2.000000            6.000000          100.000000        31227.000000            0.000082            0.441293
            2.000000            8.000000          100.000000        31227.000000            0.000082            0.586949
            3.000000            1.000000          100.000000        31227.000000            0.000082            0.005686
            3.000000            2.000000          100.000000        31227.000000            0.000082            0.046475
            3.000000            4.000000          100.000000        31227.000000            0.000082            0.054200
            3.000000            6.000000          100.000000        31227.000000            0.000082            0.124436
            3.000000            8.000000          100.000000        31227.000000            0.000082            0.165479
            4.000000           -1.000000          100.000000           -1.000000            0.000082            0.000004
            1.000000           -1.000000          300.000000       241002.000000            0.000007            0.142448
            2.000000            1.000000          300.000000       241002.000000            0.000007            0.159522
            2.000000            2.000000          300.000000       241002.000000            0.000007            1.125319
            2.000000            4.000000          300.000000       241002.000000            0.000007            1.926785
            2.000000            6.000000          300.000000       241002.000000            0.000007            2.979248
            2.000000            8.000000          300.000000       241002.000000            0.000007            3.991843
            3.000000            1.000000          300.000000       241002.000000            0.000007            0.071291
            3.000000            2.000000          300.000000       241002.000000            0.000007            0.344648
            3.000000            4.000000          300.000000       241002.000000            0.000007            0.403511
            3.000000            6.000000          300.000000       241002.000000            0.000007            0.892479
            3.000000            8.000000          300.000000       241002.000000            0.000007            1.079388
            4.000000           -1.000000          300.000000           -1.000000            0.000009            0.000016
            1.000000           -1.000000          500.000000       617699.000000            0.000002            0.540073
            2.000000            1.000000          500.000000       617699.000000            0.000002            0.600661
            2.000000            2.000000          500.000000       617699.000000            0.000002            3.038348
            2.000000            4.000000          500.000000       617699.000000            0.000002            5.033386
            2.000000            6.000000          500.000000       617699.000000            0.000002            7.972637
            2.000000            8.000000          500.000000       617699.000000            0.000002           10.432466
            3.000000            1.000000          500.000000       617699.000000            0.000002            0.260171
            3.000000            2.000000          500.000000       617699.000000            0.000002            0.896673
            3.000000            4.000000          500.000000       617699.000000            0.000002            1.005400
            3.000000            6.000000          500.000000       617699.000000            0.000002            2.439068
            3.000000            8.000000          500.000000       617699.000000            0.000002            3.082435
            4.000000           -1.000000          500.000000           -1.000000            0.000003            0.000020
